method;param;value;constrained
initial;1;0.03107;1
initial;2;0.03107;1
initial;3;0.03194;1
initial;4;0.03195;1
initial;5;0.03467;1
initial;6;0.03739;1
initial;7;0.04012;1
initial;8;0.04082;1
initial;9;0.04152;1
nelder-mead;1;0.01554;1
nelder-mead;2;0.03427;1
nelder-mead;3;0.03555;1
nelder-mead;4;0.04289;1
nelder-mead;5;0.05201;1
nelder-mead;6;0.05609;1
nelder-mead;7;0.05609;1
nelder-mead;8;0.06123;1
nelder-mead;9;0.06228;1
bo;1;0.02180;1
bo;2;0.02735;1
bo;3;0.02886;1
bo;4;0.03269;1
bo;5;0.04132;1
bo;6;0.04249;1
bo;7;0.04566;1
bo;8;0.04756;1
bo;9;0.05040;1
annealing;1;0.01554;1
annealing;2;0.04437;1
annealing;3;0.04482;1
annealing;4;0.04567;1
annealing;5;0.05170;1
annealing;6;0.05310;1
annealing;7;0.05311;1
annealing;8;0.05316;1
annealing;9;0.05321;1
pso;1;0.01553;1
pso;2;0.02770;1
pso;3;0.04118;1
pso;4;0.04752;1
pso;5;0.05201;1
pso;6;0.05609;1
pso;7;0.05609;1
pso;8;0.06122;1
pso;9;0.06228;1
initial;1;0.03107;0
initial;2;0.03107;0
initial;3;0.03194;0
initial;4;0.03195;0
initial;5;0.03467;0
initial;6;0.03739;0
initial;7;0.04012;0
initial;8;0.04082;0
initial;9;0.04152;0
nelder-mead;1;0.01554;0
nelder-mead;2;0.03427;0
nelder-mead;3;0.03823;0
nelder-mead;4;0.03743;0
nelder-mead;5;0.03041;0
nelder-mead;6;0.05523;0
nelder-mead;7;0.02006;0
nelder-mead;8;0.02058;0
nelder-mead;9;0.02076;0
annealing;1;0.01554;0
annealing;2;0.01590;0
annealing;3;0.04703;0
annealing;4;0.03194;0
annealing;5;0.04558;0
annealing;6;0.03447;0
annealing;7;0.02012;0
annealing;8;0.02044;0
annealing;9;0.02078;0
bo;1;0.02180;0
bo;2;0.04104;0
bo;3;0.04567;0
bo;4;0.02678;0
bo;5;0.01734;0
bo;6;0.02855;0
bo;7;0.02006;0
bo;8;0.02041;0
bo;9;0.03484;0
pso;1;0.01553;0
pso;2;0.02570;0
pso;3;0.02651;0
pso;4;0.03493;0
pso;5;0.03785;0
pso;6;0.02377;0
pso;7;0.02006;0
pso;8;0.02041;0
pso;9;0.02076;0
bo.oak;1;0.01702;1
bo.oak;2;0.03514;1
bo.oak;3;0.04455;1
bo.oak;4;0.04764;1
bo.oak;5;0.04776;1
bo.oak;6;0.05609;1
bo.oak;7;0.06017;1
bo.oak;8;0.06123;1
bo.oak;9;0.06228;1
